Date,Undergrad_Total,Grad_Total,Total_Male,Total_Female
2010,4137,3721,14082,22494
2011,4298,3900,14846,23560
2012,4208,3845,14488,23566
2014,3653,3348,11896,20776
2015,3488,3128,11342,19276
2016,3176,2873,11140,17490
2017,3016,2737,10554,16434
2018,2978,2744,10838,16270
2019,3067,2867,11114,16756
2020,2853,2586,10094,15532
2021,2825,2540,10112,15322
2022,2674,2415,9722,14348
2023,2798,2515,10302,14190
